INSERT INTO Candidate VALUES ('C001',  'Arpitha', 'Kulkarni', 9098288, 'BJP', 1 , 1751, 'EL002');
INSERT INTO Candidate VALUES ('C002',  'Ranjani', 'Kini', 5378667, 'INC', 1 , 1784, 'EL002');
INSERT INTO Candidate VALUES ('C003',  'Adah', 'Namnaik', 6147193, 'BSP', 1 , 2235, 'EL002');
INSERT INTO Candidate VALUES ('C004',  'Rathi', 'Babu', 5836100, 'TRS', 1 , 2270, 'EL002');
INSERT INTO Candidate VALUES ('C005',  'Sowjanya', 'Hiremath', 6134703, 'SS', 1 , 2339, 'EL002');
INSERT INTO Candidate VALUES ('C006',  'Priyanka', 'Shah', 8103562, 'BJP', 2 , 1334, 'EL007');
INSERT INTO Candidate VALUES ('C007',  'Pramitha', 'Nagane', 8240698, 'INC', 2 , 1378, 'EL007');
INSERT INTO Candidate VALUES ('C008',  'Aayushi', 'Shet', 8207442, 'TRS', 2 , 1417, 'EL007');
INSERT INTO Candidate VALUES ('C009',  'Sonali', 'Manjunath', 9564922, 'SP', 2 , 1497, 'EL007');
INSERT INTO Candidate VALUES ('C010',  'Kabir', 'Kulkarni', 8787560, 'BJP', 3 , 1141, 'EL005');
INSERT INTO Candidate VALUES ('C011',  'Abhijith', 'Holla', 8639618, 'INC', 3 , 1191, 'EL005');
INSERT INTO Candidate VALUES ('C012',  'Vaishnavi', 'Bhoja', 6923420, 'TRS', 3 , 1303, 'EL005');
INSERT INTO Candidate VALUES ('C013',  'Apoorva', 'Anand', 7722999, 'DMK', 3 , 1305, 'EL005');
INSERT INTO Candidate VALUES ('C014',  'Pooja', 'Shetty', 7027322, 'BJP', 4 , 1146, 'EL004');
INSERT INTO Candidate VALUES ('C015',  'Meghana', 'Dalvi', 6770268, 'INC', 4 , 1149, 'EL004');
INSERT INTO Candidate VALUES ('C016',  'Harsh', 'Pujari', 5453817, 'SS', 4 , 1171, 'EL004');
INSERT INTO Candidate VALUES ('C017',  'Viraj', 'Suvarna', 5897667, 'SP', 4 , 1177, 'EL004');
INSERT INTO Candidate VALUES ('C018',  'Nisha', 'Shetty', 6275948, 'DMK', 4 , 1313, 'EL004');
INSERT INTO Candidate VALUES ('C019',  'Avni', 'Uchil', 7215147, 'BJP', 5 , 2522, 'EL008');
INSERT INTO Candidate VALUES ('C020',  'Reshma', 'Vernekar', 5764492, 'INC', 5 , 2636, 'EL008');
INSERT INTO Candidate VALUES ('C021',  'Shambhavi', 'Prabhu', 6794319, 'BJP', 6 , 1024, 'EL006');
INSERT INTO Candidate VALUES ('C022',  'Shrishti', 'Shukla', 7368065, 'INC', 6 , 1143, 'EL006');
INSERT INTO Candidate VALUES ('C023',  'Keya', 'Shroff', 9759589, 'BSP', 6 , 1217, 'EL006');
INSERT INTO Candidate VALUES ('C024',  'Trupti', 'Rajesh', 8721643, 'DMK', 6 , 1222, 'EL006');
INSERT INTO Candidate VALUES ('C025',  'Ayaan', 'Nagane', 6875370, 'SS', 6 , 1225, 'EL006');
INSERT INTO Candidate VALUES ('C026',  'Rathi', 'Singh', 5179221, 'JDU', 6 , 1262, 'EL006');
INSERT INTO Candidate VALUES ('C027',  'Anika', 'Bhat', 6066435, 'SP', 6 , 1267, 'EL006');
INSERT INTO Candidate VALUES ('C028',  'Taara', 'Gupta', 9056168, 'BJP', 7 , 1145, 'EL002');
INSERT INTO Candidate VALUES ('C029',  'Guneet', 'Namnaik', 9380408, 'INC', 7 , 1224, 'EL002');
INSERT INTO Candidate VALUES ('C030',  'Veer', 'Kumar', 9197517, 'JDU', 7 , 1277, 'EL002');
INSERT INTO Candidate VALUES ('C031',  'Dhanashri', 'Singh', 9459025, 'TRS', 7 , 1498, 'EL002');
INSERT INTO Candidate VALUES ('C032',  'Lakshit', 'Ramesh', 7921596, 'AAP', 7 , 1659, 'EL002');
INSERT INTO Candidate VALUES ('C033',  'Aadi', 'Salian', 8417399, 'BJP', 8 , 3277, 'EL004');
INSERT INTO Candidate VALUES ('C034',  'Dona', 'Acharya', 7281989, 'INC', 8 , 3758, 'EL004');
INSERT INTO Candidate VALUES ('C035',  'Utkarsh', 'Rai', 6092285, 'SP', 8 , 3790, 'EL004');
INSERT INTO Candidate VALUES ('C036',  'Mishka', 'Das', 9021919, 'BJP', 9 , 1738, 'EL007');
INSERT INTO Candidate VALUES ('C037',  'Nayana', 'Kumar', 5926065, 'INC', 9 , 1923, 'EL007');
INSERT INTO Candidate VALUES ('C038',  'Pranit', 'Sullad', 8167481, 'JDU', 9 , 1979, 'EL007');
INSERT INTO Candidate VALUES ('C039',  'Shaurya', 'Das', 9762678, 'AAP', 9 , 2051, 'EL007');
INSERT INTO Candidate VALUES ('C040',  'Parv', 'Rao', 6199179, 'BJP', 10 , 1371, 'EL003');
INSERT INTO Candidate VALUES ('C041',  'Ranjani', 'Salian', 9023381, 'INC', 10 , 1518, 'EL003');
INSERT INTO Candidate VALUES ('C042',  'Mayra', 'Saniel', 9513418, 'SS', 10 , 1679, 'EL003');
INSERT INTO Candidate VALUES ('C043',  'Naksh', 'Keshri', 6264190, 'TRS', 10 , 1714, 'EL003');
INSERT INTO Candidate VALUES ('C044',  'Saranya', 'Salian', 8650180, 'BSP', 10 , 1759, 'EL003');
INSERT INTO Candidate VALUES ('C045',  'Raksha', 'Shayana', 5265228, 'SP', 10 , 1798, 'EL003');
INSERT INTO Candidate VALUES ('C046',  'Shilpa', 'Saldanha', 9072441, 'BJP', 11 , 1418, 'EL007');
INSERT INTO Candidate VALUES ('C047',  'Chaitanya', 'Babu', 7544316, 'INC', 11 , 2205, 'EL007');
INSERT INTO Candidate VALUES ('C048',  'Surabhi', 'Gamskar', 7357040, 'TMC', 11 , 3028, 'EL007');
INSERT INTO Candidate VALUES ('C049',  'Faraj', 'Nair', 9647400, 'SP', 11 , 3515, 'EL007');
INSERT INTO Candidate VALUES ('C050',  'Dona', 'Bhat', 9793379, 'TRS', 11 , 3609, 'EL007');
INSERT INTO Candidate VALUES ('C051',  'Arjun', 'Raval', 7678234, 'BJP', 12 , 1386, 'EL003');
